,old-man-sea-words
0,old
1,man
2,sea
3,fished
4,alone
5,skiff
6,gulf
7,stream
8,gone
9,eighty-four
10,days
11,without
12,taking
13,fish
14,first
15,forty
16,boy
17,parents
18,told
19,definitely
20,finally
21,salao
22,worst
23,form
24,unlucky
25,orders
26,another
27,boat
28,caught
29,three
30,good
31,week
32,made
33,sad
34,see
35,come
36,day
37,empty
38,always
39,went
40,help
41,carry
42,either
43,coiled
44,lines
45,gaff
46,harpoon
47,sail
48,furled
49,around
50,mast
51,patched
52,flour
53,sacks
54,looked
55,like
56,flag
57,permanent
58,defeat
59,thin
60,gaunt
61,deep
62,wrinkles
63,back
64,neck
65,brown
66,blotches
67,benevolent
68,skin
69,cancer
70,sun
71,brings
72,reflection
73,tropic
74,cheeks
75,ran
76,well
77,sides
78,face
79,hands
80,deep-creased
81,scars
82,handling
83,heavy
84,cords
85,none
86,fresh
87,erosions
88,fishless
89,desert
90,everything
91,except
92,eyes
93,color
94,cheerful
95,undefeated
96,santiago
97,said
98,climbed
99,bank
100,hauled
101,could
102,go
103,money
104,taught
105,loved
106,lucky
107,stay
108,remember
109,eighty-seven
110,big
111,ones
112,every
113,weeks
114,know
115,leave
116,doubted
117,papa
118,must
119,obey
120,quite
121,normal
122,n't
123,much
124,faith
125,yes
126,offer
127,beer
128,terrace
129,take
130,stuff
131,home
132,fishermen
133,sat
134,many
135,fun
136,angry
137,others
138,older
139,show
140,spoke
141,politely
142,current
143,depths
144,drifted
145,steady
146,weather
147,seen
148,successful
149,already
150,butchered
151,marlin
152,carried
153,laid
154,full
155,length
156,across
157,two
158,planks
159,men
160,staggering
161,end
162,plank
163,house
164,waited
165,ice
166,truck
167,market
168,havana
169,sharks
170,taken
171,shark
172,factory
173,side
174,cove
175,hoisted
176,block
177,tackle
178,livers
179,removed
180,fins
181,cut
182,hides
183,skinned
184,flesh
185,strips
186,salting
187,wind
188,east
189,smell
190,came
191,harbour
192,today
193,faint
194,edge
195,odour
196,backed
197,north
198,dropped
199,pleasant
200,sunny
201,holding
202,glass
203,thinking
204,years
205,ago
206,get
207,sardines
208,tomorrow
209,play
210,baseball
211,still
212,row
213,rogelio
214,throw
215,net
216,would
217,serve
218,way
219,bought
220,took
221,five
222,nearly
223,killed
224,brought
225,green
226,tore
227,pieces
228,tail
229,slapping
230,banging
231,thwart
232,breaking
233,noise
234,clubbing
235,throwing
236,bow
237,wet
238,feeling
239,whole
240,shiver
241,chopping
242,tree
243,sweet
244,blood
245,really
246,tell
247,together
248,sun-burned
249,confident
250,loving
251,gamble
252,father
253,mother
254,may
255,four
256,baits
257,mine
258,left
259,put
260,salt
261,box
262,let
263,one
264,hope
265,confidence
266,never
267,freshening
268,breeze
269,rises
270,agreed
271,steal
272,thank
273,simple
274,wonder
275,attained
276,humility
277,knew
278,disgraceful
279,loss
280,true
281,pride
282,going
