,0,1
0,the,2316
1,old,248
2,man,262
3,and,1259
4,sea,43
5,he,1165
6,was,435
7,an,29
8,who,26
9,fished,3
10,alone,11
11,in,359
12,a,397
13,skiff,48
14,gulf,5
15,stream,3
16,had,203
17,gone,21
18,eighty-four,2
19,days,12
20,now,173
21,without,18
22,taking,4
23,fish,285
24,first,30
25,forty,5
26,boy,100
27,been,43
28,with,205
29,him,230
30,but,233
31,after,33
32,s,73
33,parents,1
34,told,11
35,that,299
36,definitely,1
37,finally,6
38,salao,1
39,which,14
40,is,191
41,worst,1
42,form,2
43,of,540
44,unlucky,1
45,at,99
46,their,42
47,orders,1
48,another,21
49,boat,39
50,caught,7
51,three,12
52,good,47
53,week,2
54,it,494
55,made,48
56,sad,4
57,to,454
58,see,67
59,come,58
60,each,30
61,day,25
62,his,446
63,empty,2
64,always,16
65,went,35
66,down,89
67,help,10
68,carry,4
69,either,5
70,coiled,5
71,lines,21
72,or,57
73,gaff,11
74,harpoon,20
75,sail,21
76,furled,4
77,around,20
78,mast,16
79,patched,3
80,flour,1
81,sacks,5
82,looked,37
83,like,45
84,flag,1
85,permanent,1
86,defeat,2
87,thin,2
88,gaunt,1
89,deep,16
90,wrinkles,1
91,back,85
92,neck,5
93,brown,7
94,blotches,2
95,benevolent,1
96,skin,3
97,cancer,1
98,sun,46
99,brings,3
100,from,94
101,its,30
102,reflection,2
103,on,203
104,tropic,1
105,were,138
106,cheeks,1
107,ran,4
108,well,40
109,sides,6
110,face,11
111,hands,44
112,deep-creased,1
113,scars,2
114,handling,1
115,heavy,19
116,cords,1
117,none,1
118,these,7
119,fresh,11
120,they,152
121,as,196
122,erosions,1
123,fishless,1
124,desert,1
125,everything,16
126,about,29
127,except,10
128,eyes,24
129,same,10
130,color,2
131,cheerful,2
132,undefeated,1
133,santiago,4
134,said,189
135,climbed,1
136,bank,1
137,where,35
138,hauled,1
139,up,83
140,i,507
141,could,116
142,go,44
143,you,193
144,again,64
145,we,45
146,ve,3
147,some,37
148,money,3
149,taught,1
150,loved,9
151,no,89
152,re,11
153,lucky,8
154,stay,12
155,them,97
156,remember,20
157,how,36
158,eighty-seven,2
159,then,150
160,big,37
161,ones,6
162,every,6
163,for,136
164,weeks,1
165,know,36
166,did,62
167,not,217
168,leave,4
169,me,59
170,because,25
171,doubted,1
172,papa,1
173,am,37
174,must,73
175,obey,1
176,quite,6
177,normal,2
178,has,30
179,n't,38
180,much,46
181,faith,2
182,have,144
183,yes,9
184,can,90
185,offer,1
186,beer,5
187,terrace,10
188,ll,39
189,take,28
190,stuff,3
191,home,10
192,why,9
193,between,10
194,fishermen,17
195,sat,4
196,many,29
197,fun,1
198,angry,1
199,others,9
200,older,3
201,show,7
202,spoke,6
203,politely,1
204,current,17
205,depths,2
206,drifted,3
207,steady,16
208,weather,8
209,what,71
210,seen,15
211,successful,1
212,already,6
213,butchered,3
214,marlin,6
215,out,104
216,carried,9
217,laid,5
218,full,5
219,length,6
220,across,27
221,two,55
222,planks,2
223,men,6
224,staggering,1
225,end,7
226,plank,1
227,house,4
228,waited,5
229,ice,4
230,truck,1
231,market,3
232,havana,6
233,those,7
234,sharks,19
235,taken,9
236,shark,45
237,factory,2
238,other,29
239,side,31
240,cove,1
241,hoisted,2
242,block,1
243,tackle,1
244,livers,2
245,removed,1
246,fins,6
247,cut,33
248,off,25
249,hides,1
250,skinned,3
251,flesh,5
252,into,55
253,strips,6
254,salting,1
255,when,104
256,wind,13
257,east,7
258,smell,9
259,came,41
260,harbour,6
261,today,10
262,there,102
263,only,52
264,faint,6
265,edge,6
266,odour,1
267,backed,2
268,north,4
269,dropped,9
270,pleasant,2
271,sunny,1
272,holding,7
273,glass,2
274,thinking,3
275,years,4
276,ago,1
277,get,43
278,sardines,13
279,tomorrow,5
280,play,3
281,baseball,12
282,still,39
283,row,2
284,rogelio,1
285,will,90
286,throw,3
287,net,5
288,would,95
289,if,77
290,serve,1
291,way,22
292,bought,3
293,are,63
294,took,30
295,five,3
296,nearly,7
297,killed,10
298,brought,12
299,too,70
300,green,6
301,tore,2
302,pieces,3
303,tail,24
304,slapping,1
305,banging,2
306,thwart,3
307,breaking,8
308,noise,5
309,clubbing,3
310,throwing,1
311,bow,32
312,wet,3
313,feeling,11
314,whole,3
315,shiver,2
316,chopping,1
317,tree,1
318,sweet,5
319,blood,11
320,all,97
321,over,51
322,really,6
323,just,33
324,tell,12
325,together,13
326,sun-burned,1
327,confident,4
328,loving,1
329,my,50
330,d,3
331,gamble,1
332,your,30
333,father,8
334,mother,4
335,may,11
336,four,5
337,baits,9
338,mine,8
339,left,50
340,put,33
341,salt,10
342,box,5
343,let,40
344,one,76
345,hope,10
346,confidence,5
347,never,28
348,freshening,1
349,breeze,16
350,rises,2
351,agreed,1
352,steal,3
353,thank,6
354,simple,3
355,wonder,11
356,attained,2
357,humility,1
358,knew,45
359,disgraceful,1
360,loss,3
361,true,7
362,pride,3
363,going,20
364,be,88
365,this,50
366,asked,17
367,far,24
368,shifts,1
369,want,16
370,before,33
371,light,23
372,try,15
373,work,22
374,hook,20
375,something,23
376,truly,10
377,aid,2
378,does,13
379,such,11
380,bird,26
381,working,8
382,dolphin,27
383,bad,17
384,almost,17
385,blind,1
386,strange,15
387,turtle-ing,2
388,kills,5
389,mosquito,1
390,coast,4
391,strong,22
392,enough,13
393,think,44
394,so,85
395,tricks,2
396,us,11
397,cast,4
398,picked,6
399,gear,6
400,shoulder,12
401,wooden,1
402,hard-braided,1
403,shaft,3
404,under,26
405,stern,27
406,along,8
407,club,10
408,used,9
409,subdue,1
410,alongside,8
411,better,20
412,dew,1
413,though,25
414,sure,10
415,local,1
416,people,9
417,thought,165
418,needless,1
419,temptations,1
420,walked,4
421,road,12
422,shack,12
423,through,26
424,open,14
425,door,6
426,leaned,15
427,wrapped,3
428,against,59
429,wall,5
430,beside,7
431,long,32
432,room,4
433,tough,1
434,bud-shields,1
435,royal,1
436,palm,2
437,called,9
438,guano,2
439,bed,16
440,table,6
441,chair,4
442,place,8
443,dirt,1
444,floor,2
445,cook,1
446,charcoal,1
447,walls,3
448,flattened,2
449,overlapping,1
450,leaves,1
451,sturdy,1
452,fibered,1
453,picture,2
454,sacred,1
455,heart,7
456,jesus,2
457,virgin,2
458,cobre,2
459,relics,1
460,wife,3
461,once,20
462,tinted,1
463,photograph,1
464,lonely,1
465,shelf,1
466,corner,3
467,clean,6
468,shirt,4
469,do,109
470,eat,47
471,pot,2
472,yellow,13
473,rice,4
474,make,36
475,fire,1
476,later,6
477,cold,11
478,course,14
479,remembered,4
480,sold,2
481,fiction,2
482,eighty-five,4
483,number,1
484,bring,20
485,dressed,2
486,thousand,3
487,pounds,6
488,sit,3
489,doorway,1
490,yesterday,4
491,paper,3
492,read,2
493,whether,2
494,perico,1
495,gave,6
496,bodega,1
497,explained,1
498,keep,26
499,yours,1
500,share,1
501,morning,14
502,yankees,4
503,lose,6
504,fear,7
505,indians,2
506,cleveland,2
507,son,1
508,great,64
509,dimaggio,8
510,both,15
511,tigers,1
512,detroit,2
513,careful,3
514,even,22
515,reds,1
516,cincinnati,1
517,white,12
518,sox,1
519,chicago,1
520,study,1
521,should,22
522,buy,5
523,terminal,1
524,lottery,1
525,eighty-fifth,1
526,record,1
527,happen,4
528,twice,4
529,find,5
530,order,4
531,sheet,6
532,dollars,2
533,half,14
534,borrow,5
535,easy,6
536,perhaps,17
537,beg,1
538,warm,3
539,september,4
540,month,2
541,anyone,5
542,fisherman,9
543,asleep,10
544,army,1
545,blanket,7
546,spread,10
547,shoulders,20
548,powerful,1
549,although,11
550,very,35
551,creases,1
552,head,62
553,fallen,1
554,forward,9
555,times,10
556,patches,3
557,faded,1
558,different,3
559,shades,1
560,by,29
561,closed,7
562,life,6
563,newspaper,4
564,lay,12
565,knees,5
566,weight,16
567,arm,12
568,held,25
569,evening,5
570,barefooted,1
571,wake,7
572,hand,90
573,opened,4
574,moment,9
575,coming,15
576,away,20
577,smiled,1
578,got,6
579,supper,2
580,m,10
581,hungry,5
582,ca,6
583,getting,7
584,folding,1
585,started,23
586,fold,1
587,eating,9
588,while,16
589,alive,8
590,live,4
591,time,46
592,care,6
593,yourself,5
594,black,5
595,beans,1
596,fried,1
597,bananas,1
598,stew,2
599,two-decker,1
600,metal,1
601,container,2
602,sets,3
603,knives,1
604,forks,1
605,spoons,1
606,pocket,2
607,napkin,1
608,set,7
609,martin,1
610,owner,1
611,thanked,1
612,need,7
613,give,9
614,belly,5
615,meat,15
616,done,7
617,more,60
618,than,29
619,thoughtful,1
620,sent,3
621,beers,1
622,cans,3
623,best,4
624,bottles,2
625,hatuey,1
626,kind,6
627,asking,2
628,gently,9
629,wished,3
630,until,21
631,ready,8
632,needed,3
633,wash,2
634,village,2
635,water,105
636,supply,1
637,streets,1
638,here,13
639,soap,1
640,towel,1
